Host, GPUs, Batch size/GPU, Accuracy - FP32, Time to train - FP32 (s), Accuracy - APEX, Time to train - APEX  (s), Accuracy - LMS,  Time to train - LMS
UCloud, 1, 8, 0.890, 12583, 0.8918, 10303, -, -
UCloud, 1, 16, 0.8917, 9715, 0.8910, 5857, -, -
UCloud, 1, 32, 0.8924, 8370, 0.8927, 4106, -, -
UCloud, 1, 64, 0.8894, 7854, 0.8886, 3335, -, -
UCloud, 1, 128, 0.8853, 7324, 0.8851, 2872, -, -
UCloud, 1, 256, 0.8817, 7023, 0.8817, 2688, -, -
UCloud, 1, 512, OOM, OOM, OOM, OOM, -, -
UCloud, 1, 1024, OOM, OOM, OOM, OOM, -, -
UCloud, 2, 8, 0.8910, 6566, 0.8912, 5251, -, -
UCloud, 2, 16, 0.8909, 5072, 0.8901, 3079, -, -
UCloud, 2, 32, 0.8897, 4338, 0.8894, 2211, -, -
UCloud, 2, 64, 0.8860, 4049, 0.8857, 1749, -, -
UCloud, 2, 128, 0.8824, 3707, 0.8827, 1500, -, -
UCloud, 2, 256, 0.8763, 3533, 0.8762, 1399, -, -
UCloud, 2, 512, OOM, OOM, OOM, OOM, -, -
UCloud, 2, 1024, OOM, OOM, OOM, OOM, -, -
UCloud, 4, 8, 0.8896, 3453, 0.8911, 2796, -, -
UCloud, 4, 16, 0.8899, 2624, 0.8898, 1722, -, -
UCloud, 4, 32, 0.8832, 2218, 0.8836, 1202, -, -
UCloud, 4, 64, 0.8820, 2043, 0.8818, 969, -, -
UCloud, 4, 128, 0.8773, 1884, 0.8777, 833, -, -
UCloud, 4, 256, 0.8693, 1794, 0.8697, 769, -, -
UCloud, 4, 512, OOM, OOM, OOM, OOM, -, -
UCloud, 4, 1024, OOM, OOM, OOM, OOM, -, -
IBM PowerAI, 1, 8, 0.8904, 15600, 0.8905, 12953, 0.8904, 15658
IBM PowerAI, 1, 16, 0.8926, 11154, 0.8928, 6620, 0.8926, 11339
IBM PowerAI, 1, 32, 0.8932, 8832, 0.8931, 3979, 0.8932, 8932
IBM PowerAI, 1, 64, 0.8893, 7833, 0.8873, 2861, 0.8893, 7887
IBM PowerAI, 1, 128, 0.8853, 7299, 0.8847, 2295, 0.8853, 7311
IBM PowerAI, 1, 256, 0.8817, 7234, 0.8815, 2053, 0.8816, 7245
IBM PowerAI, 1, 512, OOM, OOM, 0.8762, 1902, 0.8760, 8713
IBM PowerAI, 1, 1024, OOM, OOM, OOM, OOM, 0.8682, 10266
