Host, GPUs, Batch size/GPU, Accuracy - FP32/TF32, Time to train - FP32/TF32 (s), Accuracy - AMP, Time to train - AMP (s)
UCloud, 1, 8, 0.8332, 13409, 0.8381, 10627
UCloud, 1, 16, 0.8399, 10236, 0.8370, 6251
UCloud, 1, 32, 0.8366, 8827, 0.8387, 4335
UCloud, 1, 64, 0.8352, 8239, 0.8361, 3501
UCloud, 1, 128, 0.8334, 7585, 0.8332, 3019
UCloud, 1, 256, 0.8284, 7198, 0.8291, 2767
UCloud, 2, 8, 0.8382, 7045, 0.8366, 5442
UCloud, 2, 16, 0.8416, 5361, 0.8396, 3265
UCloud, 2, 32, 0.8345, 4563, 0.8349, 2331
UCloud, 2, 64, 0.8338, 4188, 0.8336, 1841
UCloud, 2, 128, 0.8288, 3857, 0.8291, 1568
UCloud, 2, 256, 0.8224, 3675, 0.8228, 1436
UCloud, 4, 8, 0.8402, 3693, 0.8382, 3004
UCloud, 4, 16, 0.8379, 2807, 0.8374, 1757
UCloud, 4, 32, 0.8336, 2365, 0.8336, 1296
UCloud, 4, 64, 0.8302, 2180, 0.8301, 1017
UCloud, 4, 128, 0.8215, 2010, 0.8219, 877
UCloud, 4, 256, 0.8147, 1916, 0.8148, 805
Boston Server, 1, 8, 0.8305, 10713, 0.8344, 12726
Boston Server, 1, 16, 0.8362, 5367, 0.8375, 6127
Boston Server, 1, 32, 0.8389, 3396, 0.8395, 3548
Boston Server, 1, 64, 0.8360, 2523, 0.8360, 2532
Boston Server, 1, 128, 0.8345, 2064, 0.8340, 1981
Boston Server, 1, 256, 0.8293, 1811, 0.8289, 1690
Boston Server, 2, 8, 0.8399, 5394, 0.8342, 6308
Boston Server, 2, 16, 0.8399, 2823, 0.8387, 3151
Boston Server, 2, 32, 0.8357, 1787, 0.8358, 1902
Boston Server, 2, 64, 0.8347, 1334, 0.8342, 1343
Boston Server, 2, 128, 0.8291, 1106, 0.8291, 1058
Boston Server, 2, 256, 0.8222, 973, 0.8220, 906
Boston Server, 4, 8, 0.8371, 2764, 0.8374, 3229
Boston Server, 4, 16, 0.8360, 1539, 0.8359, 1693
Boston Server, 4, 32, 0.8343, 1005, 0.8340, 1049
Boston Server, 4, 64, 0.8283, 767, 0.8283, 814
Boston Server, 4, 128, 0.8233, 654, 0.8233, 631
Boston Server, 4, 256, 0.8155, 584, 0.8152, 555
Boston Server, 8, 8, 0.8362, 1610, 0.8359, 1842
Boston Server, 8, 16, 0.8331, 959, 0.8335, 1039
Boston Server, 8, 32, 0.8295, 693, 0.8298, 722
Boston Server, 8, 64, 0.8225, 580, 0.8226, 582
Boston Server, 8, 128, 0.8146, 522, 0.8149, 511
Boston Server, 8, 256, 0.8035, 487, 0.8029, 470
