Host, GPUs, Batch size/GPU, Accuracy - FP32/TF32, Time to train - FP32/TF32 (s), Accuracy - AMP, Time to train - AMP (s)
UCloud, 1, 8, 0.8678, 155, 0.8663, 117
UCloud, 1, 16, 0.8771, 111, 0.8791, 80
UCloud, 1, 32, 0.8567, 95, 0.8567, 52
UCloud, 1, 64, 0.8222, 89, 0.8242, 44
UCloud, 1, 128, 0.8126, 84, 0.8126, 40
UCloud, 1, 256, 0.7971, 80, 0.7971, 37
UCloud, 2, 8, 0.8628, 79, 0.8582, 66
UCloud, 2, 16, 0.8628, 62, 0.8628, 43
UCloud, 2, 32, 0.8328, 56, 0.8390, 35
UCloud, 2, 64, 0.8116, 51, 0.8116, 29
UCloud, 2, 128, 0.8039, 48, 0.8039, 26
UCloud, 2, 256, 0.7854, 48, 0.7854, 26
UCloud, 4, 8, 0.8510, 47, 0.8551, 43
UCloud, 4, 16, 0.8375, 42, 0.8414, 31
UCloud, 4, 32, 0.8102, 35, 0.8102, 24
UCloud, 4, 64, 0.7952, 35, 0.7952, 22
UCloud, 4, 128, 0.7838, 32, 0.7838, 21
UCloud, 4, 256, 0.7639, 31, 0.7639, 21
Boston Server, 1, 8, 0.8720, 109, 0.8714, 124
Boston Server, 1, 16, 0.8540, 61, 0.8598, 72
Boston Server, 1, 32, 0.8538, 44, 0.8559, 46
Boston Server, 1, 64, 0.8298, 36, 0.8298, 35
Boston Server, 1, 128, 0.8135, 31, 0.8135, 31
Boston Server, 1, 256, 0.8052, 29, 0.8052, 27
Boston Server, 2, 8, 0.8648, 64, 0.8604, 73
Boston Server, 2, 16, 0.8446, 39, 0.8444, 42
Boston Server, 2, 32, 0.8376, 30, 0.8396, 33
Boston Server, 2, 64, 0.8142, 25, 0.8142, 26
Boston Server, 2, 128, 0.7990, 24, 0.7990, 23
Boston Server, 2, 256, 0.7825, 22, 0.7825, 22
Boston Server, 4, 8, 0.8670, 41, 0.8604, 46
Boston Server, 4, 16, 0.8402, 29, 0.8320, 31
Boston Server, 4, 32, 0.8104, 24, 0.8118, 24
Boston Server, 4, 64, 0.7976, 23, 0.7976, 23
Boston Server, 4, 128, 0.7806, 21, 0.7806, 20
Boston Server, 4, 256, 0.7605, 20, 0.7604, 20
Boston Server, 8, 8, 0.8207, 34, 0.8147, 35
Boston Server, 8, 16, 0.8102, 29, 0.8080, 29
Boston Server, 8, 32, 0.7952, 26, 0.7952, 26
Boston Server, 8, 64, 0.7763, 25, 0.7763, 24
Boston Server, 8, 128, 0.7604, 24, 0.7604, 24
Boston Server, 8, 256, 0.7710, 25, 0.7710, 24
