Host, GPUs, Batch size/GPU, Accuracy - FP32/TF32, Time to train - FP32/TF32 (s), Accuracy - AMP, Time to train - AMP (s)
UCloud, 1, 8, 0.890, 12583, 0.8918, 10303
UCloud, 1, 16, 0.8917, 9715, 0.8910, 5857
UCloud, 1, 32, 0.8924, 8370, 0.8927, 4106
UCloud, 1, 64, 0.8894, 7854, 0.8886, 3335
UCloud, 1, 128, 0.8853, 7324, 0.8851, 2872
UCloud, 1, 256, 0.8817, 7023, 0.8817, 2688
UCloud, 2, 8, 0.8910, 6566, 0.8912, 5251
UCloud, 2, 16, 0.8909, 5072, 0.8901, 3079
UCloud, 2, 32, 0.8897, 4338, 0.8894, 2211
UCloud, 2, 64, 0.8860, 4049, 0.8857, 1749
UCloud, 2, 128, 0.8824, 3707, 0.8827, 1500
UCloud, 2, 256, 0.8763, 3533, 0.8762, 1399
UCloud, 4, 8, 0.8896, 3453, 0.8911, 2796
UCloud, 4, 16, 0.8899, 2624, 0.8898, 1722
UCloud, 4, 32, 0.8832, 2218, 0.8836, 1202
UCloud, 4, 64, 0.8820, 2043, 0.8818, 969
UCloud, 4, 128, 0.8773, 1884, 0.8777, 833
UCloud, 4, 256, 0.8693, 1794, 0.8697, 769
Boston Server, 1, 8, 0.8922, 9825, 0.8883, 11193
Boston Server, 1, 16, 0.8915, 4989, 0.8926, 5801
Boston Server, 1, 32, 0.8904, 3153, 0.8913, 3295
Boston Server, 1, 64, 0.8898, 2357, 0.8903, 2367
Boston Server, 1, 128, 0.8868, 1936, 0.8867, 1850
Boston Server, 1, 256, 0.8815, 1710, 0.8817, 1602
Boston Server, 2, 8, 0.8919, 4957, 0.8916, 5891
Boston Server, 2, 16, 0.8901, 2652, 0.8905, 2989
Boston Server, 2, 32, 0.8893, 1674, 0.8891, 1762
Boston Server, 2, 64, 0.8844, 1257, 0.8849, 1266
Boston Server, 2, 128, 0.8810, 1039, 0.8810, 1001
Boston Server, 2, 256, 0.8753, 916, 0.8754, 859
Boston Server, 4, 8, 0.8907, 2684, 0.8908, 3005
Boston Server, 4, 16, 0.8885, 1436, 0.8887, 1602
Boston Server, 4, 32, 0.8844, 938, 0.8840, 992
Boston Server, 4, 64, 0.8808, 719, 0.8811, 731
Boston Server, 4, 128, 0.8770, 614, 0.8770, 590
Boston Server, 4, 256, 0.8699, 551, 0.8698, 524
Boston Server, 8, 8, 0.8897, 1826, 0.8902, 1688
Boston Server, 8, 16, 0.8864, 886, 0.8869, 959
Boston Server, 8, 32, 0.8821, 641, 0.8817, 660
Boston Server, 8, 64, 0.8765, 535, 0.8762, 535
Boston Server, 8, 128, 0.8685, 481, 0.8687, 467
Boston Server, 8, 256, 0.8613, 449, 0.8612, 433





